id,title,author,preview,genre,images
2,Creative Confidence: Unleashing the Creative Potential Within Us All,Tom Bah & David Monkey," IDEO founder and Stanford d.school creator David Kelley and his brother Tom Kelley, IDEO partner and the author of the bestselling The Art of Innovation, have written a powerful and compelling book on unleashing the creativity that lies within each and every one of us.  Too often, companies and individuals assume that creativity and innovation are the domain of the ""creative types.""  But two of the leading experts in innovation, design, and creativity on the planet show us that each and every  one of us is creative.  In an incredibly entertaining and inspiring narrative that draws on countless stories from their work at IDEO, the Stanford d.school, and with many of the world's top companies, David and Tom Kelley identify the principles and strategies that will allow us to tap into our creative potential in our work lives, and in our personal lives, and allow us to innovate in terms of how we approach and solve problems.  It is a book that will help each of us be more productive and successful in our lives and in our careers.","Business & Money, Design","https://images-na.ssl-images-amazon.com/images/I/41evApu4QlL._SX323_BO1,204,203,200_.jpg"
67,Antifragile: Things That Gain from Disorder,Nassim Nicholas Taleb,"Nassim Nicholas Taleb, the bestselling author of The Black Swan and one of the foremost thinkers of our time, reveals how to thrive in an uncertain world.  Just as human bones get stronger when subjected to stress and tension, and rumors or riots intensify when someone tries to repress them, many things in life benefit from stress, disorder, volatility, and turmoil. What Taleb has identified and calls â€œantifragileâ€ù is that category of things that not only gain from chaos but need it in order to survive and flourish.  In The Black Swan, Taleb showed us that highly improbable and unpredictable events underlie almost everything about our world. In Antifragile, Taleb stands uncertainty on its head, making it desirable, even necessary, and proposes that things be built in an antifragile manner. The antifragile is beyond the resilient or robust. The resilient resists shocks and stays the same; the antifragile gets better and better.  Furthermore, the antifragile is immune to prediction errors and protected from adverse events. Why is the city-state better than the nation-state, why is debt bad for you, and why is what we call â€œefficientâ€ù not efficient at all? Why do government responses and social policies protect the strong and hurt the weak? Why should you write your resignation letter before even starting on the job? How did the sinking of the Titanic save lives? The book spans innovation by trial and error, life decisions, politics, urban planning, war, personal finance, economic systems, and medicine. And throughout, in addition to the street wisdom of Fat Tony of Brooklyn, the voices and recipes of ancient wisdom, from Roman, Greek, Semitic, and medieval sources, are loud and clear.  Antifragile is a blueprint for living in a Black Swan world.", Phenomenology,"https://images-na.ssl-images-amazon.com/images/I/41yKG1SbjsL._SX323_BO1,204,203,200_.jpg"
70,"Zero to One: Notes on Startups, or How to Build the Future", Peter Thiel,"If you want to build a better future, you must believe in secrets.  The great secret of our time is that there are still uncharted frontiers to explore and new inventions to create. In Zero to One, legendary entrepreneur and investor Peter Thiel shows how we can find singular ways to create those new things.  Thiel begins with the contrarian premise that we live in an age of technological stagnation, even if weâ€™re too distracted by shiny mobile devices to notice. Information technology has improved rapidly, but there is no reason why progress should be limited to computers or Silicon Valley. Progress can be achieved in any industry or area of business. It comes from the most important skill that every leader must master: learning to think for yourself.  Doing what someone else already knows how to do takes the world from 1 to n, adding more of something familiar. But when you do something new, you go from 0 to 1. The next Bill Gates will not build an operating system. The next Larry Page or Sergey Brin wonâ€™t make a search engine. Tomorrowâ€™s champions will not win by competing ruthlessly in todayâ€™s marketplace. They will escape competition altogether, because their businesses will be unique.  Zero to One presents at once an optimistic view of the future of progress in America and a new way of thinking about innovation: it starts by learning to ask the questions that lead you to find value in unexpected places.",Business & Money,https://images-na.ssl-images-amazon.com/images/I/41PZRSHF-NL.jpg
71,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,"In The Power of Habit, Pulitzer Prizeâ€“winning business reporter Charles Duhigg takes us to the thrilling edge of scientific discoveries that explain why habits exist and how they can be changed. Distilling vast amounts of information into engrossing narratives that take us from the boardrooms of Procter & Gamble to sidelines of the NFL to the front lines of the civil rights movement, Duhigg presents a whole new understanding of human nature and its potential. At its core, The Power of Habit contains an exhilarating argument: The key to exercising regularly, losing weight, being more productive, and achieving success is understanding how habits work. As Duhigg shows, by harnessing this new science, we can transform our businesses, our communities, and our lives.",Psychology & Counseling,"https://images-na.ssl-images-amazon.com/images/I/51NzjhIhK0L._SX322_BO1,204,203,200_.jpg"
72,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers, Ben Horowitz,"Ben Horowitz, cofounder of Andreessen Horowitz and one of Silicon Valley's most respected and experienced entrepreneurs, offers essential advice on building and running a startupâ€”practical wisdom for managing the toughest problems business school doesnâ€™t cover, based on his popular benâ€™s blog.  While many people talk about how great it is to start a business, very few are honest about how difficult it is to run one. Ben Horowitz analyzes the problems that confront leaders every day, sharing the insights heâ€™s gained developing, managing, selling, buying, investing in, and supervising technology companies. A lifelong rap fanatic, he amplifies business lessons with lyrics from his favorite songs, telling it straight about everything from firing friends to poaching competitors, cultivating and sustaining a CEO mentality to knowing the right time to cash in.  Filled with his trademark humor and straight talk, The Hard Thing About Hard Things is invaluable for veteran entrepreneurs as well as those aspiring to their own new ventures, drawing from Horowitz's personal and often humbling experiences.",Business & Money,https://images-na.ssl-images-amazon.com/images/I/51ZuUYAopiL.jpg
73,Shoe Dog: A Memoir by the Creator of Nike,Phil Knight  James,"In this candid and riveting memoir, for the first time ever, Nike founder and board chairman Phil Knight shares the inside story of the companyâ€™s early days as an intrepid start-up and its evolution into one of the worldâ€™s most iconic, game-changing, and profitable brands.  Young, searching, fresh out of business school, Phil Knight borrowed fifty dollars from his father and launched a company with one simple mission: import high-quality, low-cost running shoes from Japan. Selling the shoes from the trunk of his Plymouth Valiant, Knight grossed eight thousand dollars that first year, 1963. Today, Nikeâ€™s annual sales top $30 billion. In this age of start-ups, Knightâ€™s Nike is the gold standard, and its swoosh is more than a logo. A symbol of grace and greatness, itâ€™s one of the few icons instantly recognized in every corner of the world.  But Knight, the man behind the swoosh, has always been a mystery. Now, in a memoir thatâ€™s surprising, humble, unfiltered, funny, and beautifully crafted, he tells his story at last. It all begins with a classic crossroads moment. Twenty-four years old, backpacking through Asia and Europe and Africa, wrestling with lifeâ€™s Great Questions, Knight decides the unconventional path is the only one for him. Rather than work for a big corporation, he will create something all his own, something new, dynamic, different. Knight details the many terrifying risks he encountered along the way, the crushing setbacks, the ruthless competitors, the countless doubters and haters and hostile bankersâ€”as well as his many thrilling triumphs and narrow escapes. Above all, he recalls the foundational relationships that formed the heart and soul of Nike, with his former track coach, the irascible and charismatic Bill Bowerman, and with his first employees, a ragtag group of misfits and savants who quickly became a band of swoosh-crazed brothers.  Together, harnessing the electrifying power of a bold vision and a shared belief in the redemptive, transformative power of sports, they created a brand, and a culture, that changed everything.", Business,https://images-na.ssl-images-amazon.com/images/I/51sUlL5maVL.jpg
74,Outliers: The Story of Success ,Malcolm Gladwell ,"In this stunning new book, Malcolm Gladwell takes us on an intellectual journey through the world of ""outliers""--the best and the brightest, the most famous and the most successful. He asks the question: what makes high-achievers different?  His answer is that we pay too much attention to what successful people are like, and too little attention to where they are from: that is, their culture, their family, their generation, and the idiosyncratic experiences of their upbringing. Along the way he explains the secrets of software billionaires, what it takes to be a great soccer player, why Asians are good at math, and what made the Beatles the greatest rock band.  Brilliant and entertaining, Outliers is a landmark work that will simultaneously delight and illuminate.", Social Psychology & Interactions,"https://images-na.ssl-images-amazon.com/images/I/41h5QL0vVEL._SX327_BO1,204,203,200_.jpg"
75,Grinding It Out: The Making of McDonald's, Ray Kroc ,"He either enchants or antagonizes everyone he meets. But even his enemies agree there are three things Ray Kroc does damned well: sell hamburgers, make money, and tell stories. --from Grinding It Out  Few entrepreneurs can claim to have radically changed the way we live, and Ray Kroc is one of them. His revolutions in food-service automation, franchising, shared national training, and advertising have earned him a place beside the men and women who have founded not only businesses, but entire empires. But even more interesting than Ray Kroc the business man is Ray Kroc the man. Not your typical self-made tycoon, Kroc was fifty-two years old when he opened his first franchise. In Grinding It Out, you'll meet the man behind McDonald's, one of the largest fast-food corporations in the world with over 32,000 stores around the globe.  Irrepressible enthusiast, intuitive people person, and born storyteller, Kroc will fascinate and inspire you on every page.",Biographies & Memoirs,https://images-na.ssl-images-amazon.com/images/I/41r1g2X8ttL.jpg
77,Why Should White Guys Have All The Fun,Reginald Lewis,"Why Should White Guys Have All the Fun? is the inspiring story of Reginald Lewis: lawyer, Wall Street wizard, philanthropist â€” and the wealthiest black man in American history.  When six-year-old Reginald Lewis overheard his grandparents discussing employment discrimination against African Americans, he asked, â€œWhy should white guys have all the fun?"" This self-assured child ",Biographies & Memoirs,"https://images-na.ssl-images-amazon.com/images/I/51uotW405hL._SX320_BO1,204,203,200_.jpg"
78,Alibaba: The House That Jack Ma Built ,Duncan Clark,"An engrossing, insiderâ€™s account of how a teacher built one of the worldâ€™s most valuable companiesâ€”rivaling Walmart and Amazonâ€”and forever reshaped the global economy  In just a decade and a half, Jack Ma, a man from modest beginnings who started out as an English teacher, founded Alibaba and built it into one of the worldâ€™s largest companies, an e-commerce empire on which hundreds of millions of Chinese consumers depend. In 2014, Alibabaâ€™s $25 billion IPO was the largest global IPO in history. A Rockefeller of his time, who is courted by CEOs and presidents around the world, Jack is an icon for Chinaâ€™s booming private sector and the gatekeeper to hundreds of millions of middle-class consumers.  Duncan Clark first met Jack in 1999 in the small apartment where Jack founded Alibaba. Granted unprecedented access to a wealth of new material, including exclusive interviews, Clark draws on his own experience as an early adviser to Alibaba as well as his two decades in China chronicling the Internetâ€™s impact on the country to create an authoritative, compelling narrative account of Alibabaâ€™s rise.  How did Jack overcome his humble origins and early failures to achieve massive success with Alibaba? How did he outsmart rival entrepreneurs from both China and Silicon Valley? Can Alibaba maintain its 80 percent market share? As it forges ahead into finance and entertainment, are there limits to Alibabaâ€™s ambitions? How does the Chinese government view its rise? Will Alibaba expand farther overseas, including into the United States?  Clark tells Alibabaâ€™s tale in the context of Chinaâ€™s momentous economic and social changes, illuminating an unlikely corporate titan as never before.  Advance Praise For Alibaba  â€œAnybody who thinks the Chinese just copy or steal technology from the West should read this book and think again. Jack Ma is part Bill Gates, part Steve Jobs, part Larry Page, part Sergey Brin, and part Mark Zuckerberg, all rolled into one.â€ùâ€”Sir Martin Sorrell, CEO of WPP  â€œDuncan Clark gets into the heart and soul of Alibaba and its founder, Jack Ma, who deftly maneuvered through the discontinuities and barriers in China to create one of the greatest companies in the world. China has thrived under the leadership of Jack Ma. This book is a must-read for anyone who wants to understand the present China and the heartbeat of a great entrepreneur.â€ùâ€”Tim Draper, founder of Draper Associates, DFJ, and Draper University  â€œThis book provides excellent insight into the world of Jack Ma, perhaps the most famous of the leaders of the new economy in China. Duncan Clark is a real China â€˜Old Hand,â€™ unique in his knowledge of the Jack Ma generation. This book is definitely on the short list for those who wish to understand the Chinese economy today.â€ùâ€”Ken Wilcox, Chairman Emeritus, Silicon Valley Bank",Biographies & Memoirs,https://images-na.ssl-images-amazon.com/images/I/41GIQ4K-V1L.jpg
